x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89612.8212487938,43161.91170397231,0.0,0.0,0.0,0.3964846316757135,0.7458273061189699,19.056005133177045
89612.89263760927,43162.186260301,0.0,0.0,0.0,0.3898279471083367,0.7479586041967475,19.074453684925444
89613.02698496329,43162.552478952486,0.0,0.0,0.0,0.3635607822947662,0.7563686703954968,19.14725135836813
89613.16457570065,43162.90809513222,0.0,0.0,0.0,0.3416576031145348,0.763381501364359,19.207954540330704
89613.31349175921,43163.25911496454,0.0,0.0,0.0,0.3044753737677742,0.7752862886698311,19.311002578025967
89613.5189198781,43163.5769920926,0.0,0.0,0.0,0.2816584528121904,0.7825916761012509,19.37423813361337
89613.77993438339,43163.99696247892,0.0,0.0,0.0,0.255493035494287,0.7909691653858113,19.446753820742888
89614.071784695,43164.39478221762,0.0,0.0,0.0,0.2458394296697277,0.794060000069242,19.4735081373716
89614.39206152549,43164.77121015568,0.0,0.0,0.0,0.2404959770428872,0.7957708352751183,19.48831715548017
89614.73502164423,43165.12741522908,0.0,0.0,0.0,0.2273438762584523,0.7999817974796337,19.524767314634616
89615.17388493424,43165.343253199935,0.0,0.0,0.0,0.2176774026898718,0.8030767520815945,19.55155729334691
89615.62848978686,43165.53730491456,0.0,0.0,0.0,0.2081874119029016,0.8061152014654696,19.57785816194796
89616.09855318209,43165.68902371668,0.0,0.0,0.0,0.2014002091636709,0.8082882880831685,19.59666843599568
89616.58172503188,43165.79299608032,0.0,0.0,0.0,0.1411131759129633,0.8275906354877391,19.763749877428825
89616.9572267112,43165.85924393259,0.0,0.0,0.0,0.0558684062200245,0.8548838040235519,20.0
89617.33403230247,43165.91742174218,0.0,0.0,0.0,-0.0020654431265077,0.8734327228585602,20.0
89617.71296863777,43165.95986384495,0.0,0.0,0.0,-0.0451052506365931,0.8872129550575922,20.0
89618.16268997682,43166.00369811383,0.0,0.0,0.0,-0.0653297686864543,0.8936883221877843,20.0
89618.34594626162,43166.02699917411,0.0,0.0,0.0,-0.0797647633261453,0.8983100337946522,20.0
89618.5292025464,43166.0503002344,0.0,0.0,0.0,-0.0895742150703371,0.901450766307187,20.0
89618.7137404081,43166.05731717394,0.0,0.0,0.0,-0.1142772470879459,0.9093600376751644,20.0
89618.89838560057,43166.06297033512,0.0,0.0,0.0,-0.1232199300569704,0.9122232532638168,20.0
89619.08254159226,43166.05000378038,0.0,0.0,0.0,-0.1366406386094535,0.916520216722248,20.0
89619.26650290495,43166.0333678505,0.0,0.0,0.0,-0.1495545152066109,0.9206549057088746,20.0
89619.44989517806,43166.01116245725,0.0,0.0,0.0,-0.1549378266283982,0.9223785026690736,20.0
89619.63383366818,43165.99512081899,0.0,0.0,0.0,-0.1626508414341483,0.9248480103440998,20.0
89619.81834592571,43165.98678514482,0.0,0.0,0.0,-0.1741563024418732,0.9285317611184548,20.0
89620.00292055016,43165.981738563,0.0,0.0,0.0,-0.1846914897073384,0.9319048553578836,20.0
89620.18579558718,43165.95851373575,0.0,0.0,0.0,-0.191460245514252,0.9340720357453878,20.0
89620.36184757216,43165.90259747564,0.0,0.0,0.0,-0.2011183364445658,0.9371643064435758,20.0
89620.52625737226,43165.81836432919,0.0,0.0,0.0,-0.2043561459302492,0.938200969224154,20.0
89620.6880708225,43165.72932030472,0.0,0.0,0.0,-0.2082206973257391,0.9394382985398684,20.0
89620.80980834393,43165.661588721465,0.0,0.0,0.0,-0.2138161684545911,0.9412298235461198,20.0
89620.93062816333,43165.59224537482,0.0,0.0,0.0,-0.2182511386781267,0.9426497862042194,20.0
89621.04928073735,43165.51937887818,0.0,0.0,0.0,-0.2242385220946113,0.94456679137959,20.0
89621.16450101604,43165.44109736004,0.0,0.0,0.0,-0.2282169151054209,0.9458405698335276,20.0
89621.27320842206,43165.35397508178,0.0,0.0,0.0,-0.2314402976806713,0.9468726134908524,20.0
89621.3739935243,43165.25790320863,0.0,0.0,0.0,-0.2376138903185365,0.948849238038536,20.0
89621.46783255736,43165.154981796695,0.0,0.0,0.0,-0.2392904119819957,0.9484410849486824,20.0
89621.51675396335,43164.82911385036,0.0,0.0,0.0,-0.2428793020191836,0.947567361340005,20.0
89621.53558627398,43164.70640278593,0.0,0.0,0.0,-0.2459991474590755,0.9468078277271016,20.0
89621.55495072324,43164.58378011717,0.0,0.0,0.0,-0.2480482519582702,0.9463089684811952,20.0
89621.57792188635,43164.46179990762,0.0,0.0,0.0,-0.2504803046441168,0.9457168796104988,20.0
89621.60793856639,43164.34141508583,0.0,0.0,0.0,-0.2530230978772655,0.9450978306965544,20.0
89621.64914853085,43164.22443173031,0.0,0.0,0.0,-0.2559588834084063,0.9443831068956045,20.0
89621.7022457751,43164.11228618499,0.0,0.0,0.0,-0.2580724998936834,0.943868542056966,20.0
89621.76330158972,43164.004210417785,0.0,0.0,0.0,-0.2618393079770171,0.9429515038870409,20.0
89621.82791562044,43163.89820295424,0.0,0.0,0.0,-0.2650172037381171,0.9421778377887158,20.0
89621.89303631464,43163.79250547817,0.0,0.0,0.0,-0.2680934283125534,0.9414289237767434,20.0
89621.9581570088,43163.6868080021,0.0,0.0,0.0,-0.2709891846981344,0.9407239451641796,20.0
89622.02327770297,43163.58111052602,0.0,0.0,0.0,-0.2729345126164541,0.9402503505677324,20.0
89622.08839839716,43163.47541304995,0.0,0.0,0.0,-0.274835273227371,0.9397876059857048,20.0
89622.15351909133,43163.36971557388,0.0,0.0,0.0,-0.2775358077521461,0.9391301545882268,20.0
89622.21863978553,43163.26401809781,0.0,0.0,0.0,-0.2796552267518919,0.9386141771139744,20.0
89622.2837604797,43163.15832062174,0.0,0.0,0.0,-0.2810220415548762,0.9382814228780736,20.0
89622.34888117388,43163.05262314567,0.0,0.0,0.0,-0.2836063721042239,0.9376522616081004,20.0
89622.41400186806,43162.9469256696,0.0,0.0,0.0,-0.2849470221551137,0.9373258772418204,20.0
89622.47912256223,43162.84122819352,0.0,0.0,0.0,-0.2857567349425028,0.9371287507845428,20.0
